ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
31008,16.629,3.4,130,8.68,1976,110,0.87,0.2,1,0,0
31053,6.622,10.9,3760,14.99,1995,160,1,0.61,1,0,0
31054,6.622,10.9,3760,14.99,1995,160,1,0.61,1,0,0
31081,4.841,17.73,19428.5,20.7,1971,160,1.216,1.02,1,7.524,0
31082,4.841,17.73,19428.5,20.7,1971,160,1.216,1.02,1,7.524,0
31296,4.037,14.2,4072,15.16,2001,160,1.03,0.65,1,22.5,0
31302,3.704,14.5,4518,18.38,2000,160,1,0.58,1,5.94,0
31328,7.545,7.5,1003,13.74,2000,160,1,0.36,1,0,0
31351,4.146,13.6,3487,14.63,2000,160,1.45,0.55,1,0,0
31365,4.146,13.6,3487,14.63,1999,160,1,0.55,1,0,0
31407,4.049,13.6,4684,20.61,1999,160,1,0.55,1,0,0
31422,7.815,7.5,1127,14.39,2000,160,1,0.36,1,0,0
31441,3.864,14.5,4188,15.66,2000,160,1,0.58,1,5.94,0
31558,14.908,4.76,443,9.58,1981,160,1,0.28,1,0,0
31561,14.908,4.76,443,9.58,1981,160,1,0.28,1,0,0
31860,8.404,10,5639,19.7,2006,160,1,0.69,1,28.98,0
31886,3.666,16.08,6772,18.6,2009,160,1,0.71,1,30.6,0
31887,4.584,17.13,15211,20.74,1972,130,1.016,0.94,1,14.166,0
31889,4.771,14.45,7128,17.72,1987,150,1.18,0.79,1,13.86,0
31950,3.146,18.97,9617,18.51,1987,150,1.06,0.79,1,13.86,0
31995,12.89,6.84,1692,11.48,1934,160,1,0.5,1,10.98,1
32025,5.455,11.5,3289,15.59,1997,160,0.991,0.55,1,1.53,0
32047,4.669,15.2,7833,16.61,1985,160,1.08,0.8,1,0,0
32055,4.418,16.5,11001,18.76,1978,160,0.922,0.82,1,0,0
32061,19.562,5.2,1033,9.11,1988,120,1,0.45,1,0,0
32065,4.669,15.2,7833,16.61,1985,160,1.08,0.8,1,0,0
32068,4.635,15.2,7805,16.79,1993,140,1,0.8,1,0,0
32078,4.418,16.5,11001,18.76,1978,160,0.922,0.82,1,0,0
32087,5.455,11.5,3289,15.59,1997,160,0.991,0.55,1,1.53,0
32101,12.89,6.84,1692,11.48,1934,160,1,0.5,1,10.98,1
32127,4.635,15.2,7805,16.79,1993,140,1,0.8,1,0,0
32162,8.24,8.2,1154.7,9.28,1988,110,1.49,0.41,1,0,0
32163,16.904,3.8,248,10.27,1992,160,1.37,0.25,1,0,0
32218,16.904,3.8,248,10.27,1992,160,1.37,0.25,1,0,0
32330,4.993,14.67,8003,17.1,1997,160,1.041,0.81,1,16.2,0
32727,23.32,5.2,1228,7.62,1967,140,0.8,0.33,1,0,0
32768,9.537,6.6,810,11.58,1997,130,0.876,0.4,1,0,0
33018,41.809,4.45,2817,10.14,1987,130,1.38,0.4,1,0.9,0
33046,5.697,11.8,4499,17.64,1981,140,1.36,0.62,1,0.9,0
33072,3.903,15.99,6620,16.4,2013,150,1,0.74,1,3.87,0
33074,3.896,13.95,4188,17.98,2013,160,1.1,0.53,1,0,0
33701,22.493,4.45,866,10.77,1987,130,1.38,0.4,1,0.9,0
34155,15.882,7,2808,11.44,1966,100,1.038,0.6,1,0,0
34539,6.022,11.8,4499,15.79,1981,140,1.36,0.62,1,0.9,0
34653,5.802,11.88,4974,18.3,1983,140,1.22,0.62,1,1.8,0
34657,11.157,5,414,13.13,1973,130,0.96,0.3,1,0,1
