ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
19533,2.64,22.53,15942.9,21.91,2006,120,1.099,0.97,1,0,0
19547,2.58,22.53,15595,22.43,2006,120,1.026,0.97,1,0,0
19548,15.624,4.14,304,10.46,1914,120,0.92,0.25,0,0,0
19570,3.572,20,18412,22.25,2002,160,1.116,0.994,1,0.602099999999997,0
19575,13.394,6.16,1207,11.53,1998,100,1,0.44,1,0,0
19631,21.244,5.8,2610,12.61,1932,130,1,0.59,1,4.95,1
19637,10.293,6.8,807,8.79,1966,120,0.975,0.37,1,0,1
19651,5.914,13.43,8614.5,18.68,2003,200,1.85,0.85,1,0,0
19659,13.112,6.7,1258,8.96,1914,120,0.8,0.4,1,0,0
19696,6.74,12.14,6859,17.15,1996,120,1.13,0.75,1,9,0
19706,19.918,6.15,2199,9.56,1932,160,1.398,0.6,1,0,0
19719,2.456,26.3,27919,23.88,2012,80,1,1.09,0,43.425,0
19736,16.604,7,4762,17.75,1935,120,1.06,0.63,1,0,0
19737,27.71,5.6,2990,9.77,1923,140,1.04,0.46,2,0,1
19748,12.928,5.9,916,11.16,1909,130,1.74,0.4,1,0,0
19771,24.343,4.4,595,6.61,1922,130,1.122,0.38,1,35.1,0
19800,3.623,20.6,19107.2,19.94,1995,140,1.267,1,1,0,0
19802,15.467,5.6,780,8.18,1914,140,2.5,0.4,0,66.996,1
19812,5.742,13.5,8554,19.27,2000,160,1.21,0.8,1,0,0
19834,3.55,17.5,7634,15.934,1983,140,0.98,0.7,1,0,0
19844,2.43,26.3,29717,25.96,2012,80,1,1.09,0,43.425,0
19871,19.471,5,880.6,9.17,1928,140,1.43,0.41,1,45,1
19879,20.847,5,1103,10.02,1902,140,0.7,0.46,1,0,1
19882,4.776,17.5,18526,21.37,1998,120,1.34,0.89,1,27,0
19900,6.77,10.1,2598,13.44,1976,120,1.21,0.52,1,1.5705,1
19921,5.231,14,7626,17.9,1994,160,1.7,0.7,1,0,0
19931,25.186,5.2,641,3.41,1913,130,1.23,0.32,1,0,0
19943,16.26,5.5,1009,10.29,1925,130,1.141,0.4,1,0,0
19951,13.538,6.1,1013,9.85,1970,160,1,0.48,1,0,0
19964,15.366,8.8,1515,2.64,1962,110,1.09,0.6,1,0,1
19990,28.836,5.8,4889,12.82,1939,120,0.893,0.5,1,0,1
19998,15.62,4.9,407,7.14,1958,160,1.03,0.3,0,0,0
20035,3.571,17.31,12086,26.04,1993,160,1.07,0.75,1,11.7,0
20043,9.987,6,471,8.99,1976,120,0.84,0.3,1,0,0
20046,14.308,7.8,1895,6.17,1990,120,0.971,0.6,0,0,0
20090,19.215,6,2752,14.19,1991,160,1,0.52,1,0,0
20093,13.112,6.7,1258,8.96,1914,120,0.8,0.4,1,0,0
20152,3.703,21,20295.8,18.779,1995,120,1.19,1.05,1,0,0
20155,5.096,11.2,2246,13.56,1992,140,0.9,0.49,1,0,0
20166,6.407,10.5,2111,10.44,1977,110,1.061,0.5,1,1.31399999999999,1
20167,13.241,6,849,9.22,1966,120,0.914,0.37,1,0,0
20168,7.147,15,10479,10,1998,160,1.79,0.83,1,0,0
20174,6.095,10.5,2593,14.17,1977,110,1.061,0.5,1,1.31399999999999,1
20188,14.232,8.1,3378,9.56,1912,140,1.42,0.67,1,33.3,0
20189,21.983,5.7,2117,10.24,1931,160,0.946,0.57,1,0,0
20219,11.903,6.5,1716,16.74,1924,120,0.87,0.425,2,0,1
20256,6.045,12.7,4651,12.07,1917,250,1.075,0.7,1,0,1
20259,11.844,6.5,1142.8,11.26,1920,110,1.029,0.51,1,0,1
20267,15.106,4.58,398,9.78,1978,130,1.056,0.29,1,0,0
20272,4.533,10.5,1141,11.27,1942,130,1.216,0.45,1,10.8,0
20273,3.718,20.9,24997,23.39,1994,160,1.67,1.17,1,0,0
20280,19.098,6.7,3920,13.16,1913,130,1.42,0.65,1,0,0
