ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB
26284,5.07,12.5,3924,15.43,1992,120,1.06,1.06
27285,8.557,11,5414,12.46,1933,90,1.3,1.06
28383,8.557,11,5414,12.46,1933,90,1.3,1.06
30515,5.517,14.1,7840,16.08,1997,140,1.06,1.06
31290,4.118,15,5720,16.44,2001,160,1.06,1.06
31378,3.291,16.95,6920,19.1,2001,160,1.06,1.06
31404,3.311,16.95,6630,18.08,2001,160,1.06,1.06
31458,3.225,16.95,5720,16.44,2001,160,1.06,1.06
10738,12.647,8.7,4475,12.05,1925,110,1.1,1.059
10739,12.766,8.7,4475,11.826,1925,110,1.1,1.059
17499,7.259,10.7,3275,11.7,1942,110,1.058,1.058
3976,8.458,8.83,2275.4,12.91,1980,160,1.078,1.056
3977,8.458,8.83,2275.4,12.91,1980,160,1.078,1.056
9954,4.383,17.6,13752,18.41,1988,110,1.056,1.056
9955,4.383,17.6,13752,18.41,1988,110,1.056,1.056
20185,17.593,6.8,3181,11.86,1967,160,1.04,1.056
2566,5.561,12.4,4361,14.72,1981,160,1.11,1.055
2567,5.603,12.4,4361,14.5,1981,160,1.11,1.055
6292,4.943,16,11876,18.3,1985,160,2.22,1.055
