ID_AUFTRAG_ZPM,STW_NUM,n0_3,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB,Ssp_Randkonstruktion
5092,7.1,11.81,1728,12.03,1934,200,1.06,2.1,1
5093,7.1,11.81,1728,12.03,1934,200,1.06,2.1,1
5094,7.1,11.81,1728,12.03,1934,200,1.06,2.1,1
5095,7.1,11.81,1728,12.03,1934,200,1.06,2.1,1
5104,12.2,5.931,5199,16.46,1991,200,1.052,1.088,1
5105,12.2,5.964,5053,15.82,1991,200,1.052,1.088,1
5115,8.5,10.019,1856,8.74,1938,160,1.58,1.43,0
5116,8.5,10.019,1856,8.74,1938,160,1.58,1.43,1
5138,4.6,25.429,1588.8,13.54,1912,200,1.3,2.6,1
5141,4.01,37.417,1763.5,12.02,1913,150,1.32,2.7,1
5142,4.01,36.652,1361.3,9.67,1913,150,1.32,2.7,1
5146,7.17,12.256,2003.1,12.45,1916,200,0.98,0.9,1
5147,2.4,55.623,488.83,11.75,1937,200,0.77,0.79,1
5148,2.4,55.623,488.83,11.75,1937,200,0.77,0.79,1
5151,2.4,56.559,376.8,8.76,1937,200,0.77,0.79,1
5152,2.4,55.16,376.8,9.21,1937,200,0.77,0.79,1
5157,11.7,5.173,2662,13.1,1976,200,0.95,0.98,1
5158,11.7,5.173,2662,13.1,1976,200,0.95,0.98,1
5161,13.85,4.629,4687,14.67,1976,200,0.98,1.02,1
5177,4.5,21.162,812,10.91,1978,200,1.12,3,1
5178,4.5,21.162,812,10.91,1978,200,1.12,3,1
5179,8.59,12.266,4253,12.81,2004,200,1.39,3.72,1
5180,8.59,12.266,4253,12.81,2004,200,1.39,3.72,1
5183,12.904,8.284,22223,28.82,1915,180,1.31,5.99,1
5184,12.9,7.949,11284,15.91,1915,180,1.31,5.99,0
5185,4.5,19.014,906.1,15.08,1915,180,0.8,0.8,1
5186,3.4,32.984,820.2,13.92,1915,180,0.75,0.75,1
5187,4.5,19.014,906.1,15.08,1915,180,0.8,0.8,0
5188,3.4,32.984,820.2,13.92,1915,180,0.75,0.75,0
5190,10.82,9.561,17072,33.62,1915,180,1.69,5.83,1
5207,8.7,9.218,3727,18.89,1915,180,0.98,0.99,1
5208,8.7,8.99,3515,18.73,1915,180,0.98,0.99,0
5209,19.6,4.08,19886,19.97,1998,180,1,1,0
5210,19.88,3.88,20322,21.32,1998,180,1,1,1
